Pouziti programu:
generovani souboru: skipjack.exe referencni_blok zasifrovany_blok heslo
cteni souboru: skipjack.exe referencni_blok zasifrovany_blok 

Spoustim demoverzi...
Creating first population 
First population created 
0xd9 	;200.582;39
0xda 	;289.926;36
0xdb 	;262.328;38
0xdc 	;199.725;39
0xdd 	;323.077;37
0xde 	;231.454;29
0xdf 	;301.674;36
0xe0 	;282.507;29
0xe1 	;315.057;37
0xe2 	;187.79;28
0xe3 	;207.817;31
0xe4 	;263.92;33
0xe5 	;185.822;35
0xe6 	;229.915;33
0xe7 	;311.247;27
0xe8 	;271.547;26
0xe9 	;175.974;21
0xea 	;277.555;33
0xeb 	;216.947;24
0xec 	;179.613;28
0xed 	;320.067;32
0xee 	;241.458;36
0xef 	;284.582;27
0xf0 	;213.736;32
0xf1 	;340.178;30
0xf2 	;269.487;39
0xf3 	;226.894;33
0xf4 	;111.7;32
0xf5 	;294.674;34
0xf6 	;232.663;37
0xf7 	;230.495;28
0xf8 	;291.65;33
0xf9 	;259.963;36
0xfa 	;211.915;30
0xfb 	;257.072;24
0xfc 	;154.509;33
0xfd 	;225.136;36
0xfe 	;229.591;32
Sifra neprolomena:(
